employee_id,first_name,last_name,role,manager_id,region_id,hire_date
1,Morgan,Turner,VP of Sales,,,2024-09-02
2,Jordan,Hayes,Regional Sales Manager,1,1.0,2022-08-19
3,Taylor,Bennett,Regional Sales Manager,1,2.0,2022-08-25
4,Morgan,Coleman,Regional Sales Manager,1,3.0,2022-02-07
5,Casey,Reyes,Regional Sales Manager,1,4.0,2022-05-22
6,Marley,Ellison,Sales Representative,2,5.0,2023-07-09
7,Drew,Salazar,Sales Representative,2,9.0,2023-07-01
8,Jamie,Turner,Sales Representative,2,1.0,2023-01-06
9,Devon,Foster,Sales Representative,2,5.0,2022-11-06
10,Skyler,Blake,Sales Representative,2,1.0,2024-04-09
11,Taylor,Price,Sales Representative,3,6.0,2023-04-06
12,Harper,Hoyt,Sales Representative,3,6.0,2024-03-19
13,Devon,Reyes,Sales Representative,3,10.0,2024-08-21
14,Quinn,Nash,Sales Representative,3,14.0,2022-11-14
15,Sam,Grant,Sales Representative,3,6.0,2022-07-22
16,Quinn,Vance,Sales Representative,4,15.0,2024-08-10
17,Reese,Wells,Sales Representative,4,3.0,2023-09-27
18,Cameron,Ortega,Sales Representative,4,3.0,2022-10-18
19,Kendall,Vance,Sales Representative,4,3.0,2023-09-14
20,Jamie,Vance,Sales Representative,4,7.0,2023-05-31
21,Taylor,Pierce,Sales Representative,5,12.0,2024-06-24
22,Taylor,Wells,Sales Representative,5,4.0,2022-09-13
23,Harper,Doyle,Sales Representative,5,12.0,2024-09-18
24,Devon,Blake,Sales Representative,5,4.0,2024-07-25
25,Taylor,Salazar,Sales Representative,5,12.0,2022-06-30
